Color,Binary,,
0range,conspicuous ,,
apricot coloured,conspicuous ,,
apricot-colored,conspicuous ,,
back,non-conspicuous,conspicuous,
beige,non-conspicuous,orange,
Bicolor,uncertain ,red,
black,non-conspicuous,yellow,
Black,non-conspicuous,pink,
BLACK,non-conspicuous,,
black or purple,non-conspicuous,,
black or purplish,non-conspicuous,,
black or yellow tunring black,uncertain ,,
black or yellowish green,non-conspicuous,,
black when dry,non-conspicuous,,
"black, purple or orange-brown",non-conspicuous,,
"black, yellow-orange or orange",uncertain ,,
black/red,uncertain ,,
black; blue,non-conspicuous,,
black; blue; purple,non-conspicuous,,
black; brown,non-conspicuous,,
black; purple,non-conspicuous,,
black; red,uncertain ,,
black;blue,non-conspicuous,,
black;green,non-conspicuous,,
black;green;red,uncertain ,,
black;green;yellow,uncertain ,,
black;orange,uncertain ,,
black;orange;yellow,uncertain ,,
black;purple;red,uncertain ,,
black;red,uncertain ,,
black;red;white,uncertain ,,
black;violet,non-conspicuous,,
black;yellow,uncertain ,,
blackish,non-conspicuous,,
blackish purple,non-conspicuous,,
blackish to grey-brown,non-conspicuous,,
blackish when ripe,non-conspicuous,,
blackish-brown,non-conspicuous,,
blackish-purple,non-conspicuous,,
blue,non-conspicuous,,
Blue,non-conspicuous,,
BLUE,non-conspicuous,,
blue to black,non-conspicuous,,
blue/blue-black,non-conspicuous,,
blue/purple,non-conspicuous,,
blue; black,non-conspicuous,,
blue; black; purple,non-conspicuous,,
blue; green,non-conspicuous,,
blue; grey,non-conspicuous,,
blue;green,non-conspicuous,,
blue;violet,non-conspicuous,,
blue-black,non-conspicuous,,
blue-black,non-conspicuous,,
"blue-black, purply",non-conspicuous,,
blue-green,non-conspicuous,,
"blue-green, red to purple-black when ripe",non-conspicuous,,
blue-purple,non-conspicuous,,
bluish,non-conspicuous,,
bluish black when mature,non-conspicuous,,
bluish-black,non-conspicuous,,
bluish-gree to orange yellow when ripe,conspicuous ,,
"bluish-green, drying to dark purple",non-conspicuous,,
bright blue,non-conspicuous,,
bright orange,conspicuous ,,
bright orange to red,conspicuous ,,
bright orange-red,conspicuous ,,
bright pink to blood red,conspicuous ,,
bright pink to red,conspicuous ,,
bright plum-coloured to purple-red,non-conspicuous,,
bright red,conspicuous ,,
"bright red when young, drying to purple-brown",uncertain ,,
"bright red, drying to reddish-brown",conspicuous ,,
"bright red, drying to tan-brown",conspicuous ,,
bright red-purple,conspicuous ,,
bright scarlet,conspicuous ,,
bright shiny red,conspicuous ,,
bright yellow to orange,conspicuous ,,
brown,non-conspicuous,,
BROWN,non-conspicuous,,
Brown,non-conspicuous,,
Brown,non-conspicuous,,
brown or grey,non-conspicuous,,
brown or orange,uncertain ,,
brown or red,uncertain ,,
brown or yellow,uncertain ,,
brown to black,non-conspicuous,,
brown to orange-coloured,non-conspicuous,,
brown to orange-red,non-conspicuous,,
brown to red,uncertain ,,
"brown, bright red or yellow",uncertain ,,
"brown, red or yellow",uncertain ,,
brown/green,non-conspicuous,,
brown/orange,uncertain ,,
brown/orange/red,uncertain ,,
brown/red,uncertain ,,
brown/white/cream,non-conspicuous,,
brown/yellow,uncertain ,,
brown; black,non-conspicuous,,
brown; black; purple,non-conspicuous,,
brown; green,non-conspicuous,,
brown; grey; black,non-conspicuous,,
brown; orange,uncertain ,,
brown; orange; yellow,uncertain ,,
brown; pink,uncertain ,,
brown; pink; red,uncertain ,,
brown; purple,non-conspicuous,,
brown; purple; black,non-conspicuous,,
brown; red,uncertain ,,
brown; red; orange,uncertain ,,
brown; straw-coloured,non-conspicuous,,
brown; yellow,uncertain ,,
brown; yellow; red,uncertain ,,
brown;green,non-conspicuous,,
brown;red,uncertain ,,
brown;yellow,uncertain ,,
brownish,non-conspicuous,,
brownish to reddish,uncertain ,,
brownish tomentose,non-conspicuous,,
"brownish, to whitish when mature, drying reddish",non-conspicuous,,
brownish-red,non-conspicuous,,
brown-red,non-conspicuous,,
brown-wine,non-conspicuous,,
chestnut brown,non-conspicuous,,
chocolate-brown,non-conspicuous,,
cinnamon-coloured,non-conspicuous,,
cream,non-conspicuous,,
CREAM,non-conspicuous,,
cream; brown,non-conspicuous,,
cream; straw-coloured,non-conspicuous,,
cream; white,non-conspicuous,,
cream; white; yellow,non-conspicuous,,
cream; yellow,non-conspicuous,,
creamy,non-conspicuous,,
creamy to pale brown,non-conspicuous,,
cremy brown,non-conspicuous,,
"crimson, turning brown with age",conspicuous ,,
darak glossy brown,non-conspicuous,,
dark,non-conspicuous,,
DARK,non-conspicuous,,
dark brown,non-conspicuous,,
dark brown,non-conspicuous,,
dark brown or black,non-conspicuous,,
dark brown shiny,non-conspicuous,,
dark brown to black when ripe,non-conspicuous,,
dark brown to purple-brown,non-conspicuous,,
dark brown to purplish,non-conspicuous,,
dark chocolate-brown,non-conspicuous,,
dark chocolate-brown to deep golden brown when ripe,non-conspicuous,,
dark green,non-conspicuous,,
dark green to black when ripe,non-conspicuous,,
dark grey,non-conspicuous,,
dark grey to purple black,non-conspicuous,,
dark orange-brown,non-conspicuous,,
dark pink to black,uncertain ,,
dark purple,non-conspicuous,,
dark purple to black when ripe,non-conspicuous,,
dark red,conspicuous ,,
DARK RED,conspicuous ,,
dark red to black,uncertain ,,
dark red to purple,uncertain ,,
dark reddish brown,non-conspicuous,,
dark to orange-brown,non-conspicuous,,
dark wine,non-conspicuous,,
dark yellow,conspicuous ,,
dark-brown,non-conspicuous,,
dark-brown to black,non-conspicuous,,
dark-green,non-conspicuous,,
deep orange,conspicuous ,,
"deep purple, almost red when ripe",uncertain ,,
deep red,conspicuous ,,
deep red to purplish black,uncertain ,,
deep-pink,conspicuous ,,
dull brown,non-conspicuous,,
dull green or grey-green,non-conspicuous,,
dull orange,conspicuous ,,
dull orange to brown,uncertain ,,
"dull pink, drying to pale brown",conspicuous ,,"if drying to a certain color, use the color before dry to determine "
dull red,conspicuous ,,
dull yellow,conspicuous ,,
dull yellow to shiny brown,uncertain ,,
"first green, later brown to blackish",non-conspicuous,,
"from almost white to deep red, turning purple-black when ripe",non-conspicuous,,
glossy black,non-conspicuous,,
"glossy green, turning brown when ripe",non-conspicuous,,
glossy orange red,conspicuous ,,
glossy red,conspicuous ,,
golden brown,non-conspicuous,,
GRAY,non-conspicuous,,
GRAYISH,non-conspicuous,,
gree or reddish,uncertain ,,
green,non-conspicuous,,
GREEN,non-conspicuous,,
Green,non-conspicuous,,
"green and warty, yellowish when ripe",conspicuous ,,
green flushed with pink,uncertain ,,
green or glaucous,non-conspicuous,,
green or light yellowish green,non-conspicuous,,
green or white,non-conspicuous,,
green or yellowish,uncertain ,,
green or yellowish green,non-conspicuous,,
green ripening red,conspicuous ,,
green tinged purple-brown,non-conspicuous,,
green tinted pink when mature,conspicuous ,,
green to black,non-conspicuous,,
green to brown,non-conspicuous,,
green to brown when ripe,non-conspicuous,,
green to pale brown,non-conspicuous,,
"green to pinkish when young, drying to light brown",uncertain ,,
green to purple-black when ripe,non-conspicuous,,
green to purplish,non-conspicuous,,
green to purplish-brown,non-conspicuous,,
green to white when mature,non-conspicuous,,
"green to whitish, turning red to purple-black when ripe",uncertain ,,
green to yellow when ripe,uncertain ,,
green to yellowish brown when ripe,non-conspicuous,,
green tunring brown with age,non-conspicuous,,
green turning purple-black,non-conspicuous,,
green turning yellow to orange when ripe,conspicuous ,,
green turning yellow when ripe,conspicuous ,,
"green with brown lenticels, truning brown when dry",non-conspicuous,,
"green, drying to brown",non-conspicuous,,
"green, ripening brown",non-conspicuous,,
"green, ripening red",conspicuous ,,
"green, turning blackish when ripe",non-conspicuous,,
"green, yellow or orange",uncertain ,,
green. Later dark brown,non-conspicuous,,
green/brown,non-conspicuous,,
green/brown/Black,non-conspicuous,,
green/gray,non-conspicuous,,
green/Maroon,non-conspicuous,,
green/purple,non-conspicuous,,
green/purple/black,non-conspicuous,,
green/red/orange/purple,uncertain ,,
green/white/cream,non-conspicuous,,
green/yellow,uncertain ,,
green/yellow/orange/brown,uncertain ,,
green/yellow/orange/red,uncertain ,,
green/yellow/red,uncertain ,,
green; black,non-conspicuous,,
green; blue,non-conspicuous,,
green; brown,non-conspicuous,,
green; brown; black,non-conspicuous,,
green; cream,non-conspicuous,,
green; cream; white,non-conspicuous,,
green; ivory,non-conspicuous,,
green; orange,uncertain ,,
green; orange; red,uncertain ,,
green; pink,uncertain ,,
green; pink; black; purple,uncertain ,,
green; purple,non-conspicuous,,
green; red,uncertain ,,
green; red; black,uncertain ,,
green; red; purple; black,uncertain ,,
green; straw-coloured,non-conspicuous,,
green; white,non-conspicuous,,
green; white; red,uncertain ,,
green; yellow,uncertain ,,
green; yellow; black,uncertain ,,
green; yellow; brown,uncertain ,,
green; yellow; orange,uncertain ,,
green; yellow; red,uncertain ,,
green; yellow; white,uncertain ,,
green;orange,uncertain ,,
green;orange;yellow,uncertain ,,
green;purple;red,uncertain ,,
green;red,uncertain ,,
green;red;yellow,uncertain ,,
green;violet,non-conspicuous,,
green;yellow,uncertain ,,
greenish,non-conspicuous,,
greenish blue,non-conspicuous,,
greenish or reddish,uncertain ,,
greenish or yellowish,uncertain ,,
"greenish purple, spotted white",non-conspicuous,,
greenish white turning dark,non-conspicuous,,
"greenish white when unripe, red at maturity, drying black",conspicuous ,,
"greenish, becoming black when mature",non-conspicuous,,
"greenish, tinged pink",non-conspicuous,,
greenish-brown,non-conspicuous,,
greenish-brown velutinous,non-conspicuous,,
greenish-grey,non-conspicuous,,
greenish-orange to red when ripe,conspicuous ,,
greenish-white to reddish brwon or camine when ripe,uncertain ,,
greenish-yellow to greyish-brown,non-conspicuous,,
"greenish-yellow, drying to light brown",non-conspicuous,,
"greenish-yellow, pink or shiny black",uncertain ,,
"green-white, ripening red",conspicuous ,,
green-yellow or red,conspicuous ,,
gren or orange-yellow,uncertain ,,
grey,non-conspicuous,,
Grey,non-conspicuous,,
grey brown,non-conspicuous,,
grey or brown,non-conspicuous,,
grey to orange,uncertain ,,
grey; green,non-conspicuous,,
grey; green; brown,non-conspicuous,,
grey-brown to purple,non-conspicuous,,
grey-green,non-conspicuous,,
grey-green to black,non-conspicuous,,
"grey-green, drying brown to black",non-conspicuous,,
"grey-green, turning brown when ripe",non-conspicuous,,
greyish brown,non-conspicuous,,
greyish green,non-conspicuous,,
greyish to pale brown,non-conspicuous,,
greyish to yellow,uncertain ,,
greyish yellow-green,non-conspicuous,,
greyish-blue,non-conspicuous,,
greyish-brown,non-conspicuous,,
greyish-green,non-conspicuous,,
"greyish-green when young, brown when mature",non-conspicuous,,
greyish-yellow,non-conspicuous,,
ivory,non-conspicuous,,
IVORY WHITE,non-conspicuous,,
ivory; white,non-conspicuous,,
light brown,non-conspicuous,,
lilac to dark purple when ripe,non-conspicuous,,
mahogany red,conspicuous ,,
MAROON,conspicuous ,,
maroon-purple,conspicuous ,,
maturing black,non-conspicuous,,
multicolor,uncertain ,,
olive-green,non-conspicuous,,
olive-green to brown,non-conspicuous,,
olive-green to yellow-brown,non-conspicuous,,
orage;black,uncertain ,,
orange,conspicuous ,,
ORANGE,conspicuous ,,
Orange,conspicuous ,,
orange,conspicuous ,,
orange or brown,uncertain ,,
orange or red,conspicuous ,,
orange or reddish-brown,uncertain ,,
orange or yellow,conspicuous ,,
orange to black when ripe,non-conspicuous,,
