Order,Family,Genus_Species_Accepted,Genus_Accepted,PMkr2.LCVP.moldat.PvAb.Ap24,NEW_Fruit_fleshy_or_dry_rev_checked_Anna,Fruit_color,ID
Alismatales,Araceae,Amorphophallus_andranogidroensis,Amorphophallus,1,fleshy,red,8116
Alismatales,Araceae,Amorphophallus_ankarana,Amorphophallus,1,NA,NA,8048
Alismatales,Araceae,Amorphophallus_ankarana,Amorphophallus,1,fleshy,red,8117
Alismatales,Araceae,Amorphophallus_antsingyensis,Amorphophallus,1,fleshy,red,8118
Alismatales,Araceae,Amorphophallus_erythrorrhachis,Amorphophallus,1,fleshy,red,8119
Alismatales,Araceae,Amorphophallus_hildebrandtii,Amorphophallus,1,fleshy,red,8121
Alismatales,Araceae,Amorphophallus_mangelsdorffii,Amorphophallus,1,fleshy,red,8123
Alismatales,Araceae,Amorphophallus_perrieri,Amorphophallus,1,fleshy,red,8125
Alismatales,Araceae,Amorphophallus_taurostigma,Amorphophallus,1,NA,NA,8109
Alismatales,Araceae,Amorphophallus_taurostigma,Amorphophallus,1,fleshy,red,8127
Alismatales,Araceae,Anthurium_brownii,Anthurium,1,fleshy,NA,10333
Alismatales,Araceae,Anthurium_brownii,Anthurium,1,NA,NA,10334
Alismatales,Araceae,Anthurium_brownii,Anthurium,1,fleshy,orange;yellow,10335
Alismatales,Araceae,Anthurium_brownii,Anthurium,1,NA,orange,10381
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,fleshy,red,10336
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,fleshy,NA,10337
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,NA,10338
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,NA,10351
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,blue,10383
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,black,10384
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,black,10385
Alismatales,Araceae,Anthurium_clavigerum,Anthurium,1,NA,blue,10386
Alismatales,Araceae,Anthurium_formosum,Anthurium,1,fleshy,NA,10360
Alismatales,Araceae,Anthurium_formosum,Anthurium,1,NA,black,10395
Alismatales,Araceae,Anthurium_friedrichsthalii,Anthurium,1,fleshy,orange;yellow,10343
Alismatales,Araceae,Anthurium_friedrichsthalii,Anthurium,1,NA,NA,10344
Alismatales,Araceae,Anthurium_friedrichsthalii,Anthurium,1,NA,orange,10396
Alismatales,Araceae,Anthurium_friedrichsthalii,Anthurium,1,NA,orange,10397
Alismatales,Araceae,Anthurium_ochranthum,Anthurium,1,fleshy,red,10359
Alismatales,Araceae,Anthurium_ochranthum,Anthurium,1,NA,blue,10414
Alismatales,Araceae,Anthurium_ochranthum,Anthurium,1,NA,blue,10415
Alismatales,Araceae,Anthurium_ochranthum,Anthurium,1,NA,black,10419
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,NA,12141
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,NA,12163
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,fleshy,NA,12164
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,NA,12165
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,red,12171
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,red,12226
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,red,12227
Alismatales,Araceae,Arisaema_triphyllum,Arisaema,1,NA,red,12228
Alismatales,Araceae,Arophyton_buchetii,Arophyton,1,fleshy,red,12654
Alismatales,Araceae,Arum_italicum,Arum,1,NA,NA,13067
Alismatales,Araceae,Arum_italicum,Arum,1,NA,NA,13068
Alismatales,Araceae,Arum_italicum,Arum,1,NA,NA,13069
Alismatales,Araceae,Arum_italicum,Arum,1,fleshy,Red,13070
Alismatales,Araceae,Arum_italicum,Arum,1,NA,NA,13071
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13094
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13095
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13096
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13097
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13098
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13099
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13100
Alismatales,Araceae,Arum_italicum,Arum,1,NA,red,13101
