"","Order","Family","Genus_Species_Accepted","Genus_Accepted","PMkr2.LCVP.moldat.PvAb.Ap24","NEW_Fruit_fleshy_or_dry_rev_checked_Anna","Fruit_color","ID","Binary_Color"
"1","Alismatales","Araceae","Amorphophallus_andranogidroensis","Amorphophallus",1,"fleshy","red",8116,"conspicuous "
"3","Alismatales","Araceae","Amorphophallus_ankarana","Amorphophallus",1,"fleshy","red",8117,"conspicuous "
"4","Alismatales","Araceae","Amorphophallus_antsingyensis","Amorphophallus",1,"fleshy","red",8118,"conspicuous "
"5","Alismatales","Araceae","Amorphophallus_erythrorrhachis","Amorphophallus",1,"fleshy","red",8119,"conspicuous "
"6","Alismatales","Araceae","Amorphophallus_hildebrandtii","Amorphophallus",1,"fleshy","red",8121,"conspicuous "
"7","Alismatales","Araceae","Amorphophallus_mangelsdorffii","Amorphophallus",1,"fleshy","red",8123,"conspicuous "
"8","Alismatales","Araceae","Amorphophallus_perrieri","Amorphophallus",1,"fleshy","red",8125,"conspicuous "
"10","Alismatales","Araceae","Amorphophallus_taurostigma","Amorphophallus",1,"fleshy","red",8127,"conspicuous "
"13","Alismatales","Araceae","Anthurium_brownii","Anthurium",1,"fleshy","orange;yellow",10335,"conspicuous "
"15","Alismatales","Araceae","Anthurium_clavigerum","Anthurium",1,"fleshy","red",10336,"conspicuous "
"25","Alismatales","Araceae","Anthurium_friedrichsthalii","Anthurium",1,"fleshy","orange;yellow",10343,"conspicuous "
"29","Alismatales","Araceae","Anthurium_ochranthum","Anthurium",1,"fleshy","red",10359,"conspicuous "
"41","Alismatales","Araceae","Arophyton_buchetii","Arophyton",1,"fleshy","red",12654,"conspicuous "
"45","Alismatales","Araceae","Arum_italicum","Arum",1,"fleshy","Red",13070,"conspicuous "
"67","Alismatales","Araceae","Colletogyne_perrieri","Colletogyne",1,"fleshy","purple",35664,"non-conspicuous"
"85","Alismatales","Araceae","Philodendron_quinquenervium","Philodendron",1,"fleshy","YELLOW",112915,"conspicuous "
"88","Apiales","Apiaceae","Mackinlaya_confusa","Mackinlaya",1,"fleshy","blue",90113,"non-conspicuous"
"94","Apiales","Apiaceae","Mackinlaya_macrosciadea","Mackinlaya",1,"fleshy","blue",90118,"non-conspicuous"
"97","Apiales","Araliaceae","Aralia_merrillii","Aralia",1,"fleshy","purple to blue-black",11268,"non-conspicuous"
